Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/11/20, 00:00:00, 52.62, 52.62, 52.62, 52.62, 1574818, 1995402
2018/11/21, 00:00:00, 53.06, 53.06, 53.06, 53.06, 1175520, 1992533
2018/11/23, 00:00:00, 51.74, 51.74, 51.74, 51.74, 1395342, 2016420
2018/11/26, 00:00:00, 52.38, 52.38, 52.38, 52.38, 935515, 2015783
2018/11/27, 00:00:00, 53.17, 53.17, 53.17, 53.17, 1032388, 2020092
2018/11/28, 00:00:00, 53.54, 53.54, 53.54, 53.54, 1178564, 2031536
2018/11/29, 00:00:00, 53.76, 53.76, 53.76, 53.76, 1136360, 2037138
2018/11/30, 00:00:00, 52.20, 52.20, 52.20, 52.20, 1152202, 2046537
2018/12/3, 00:00:00, 53.46, 53.46, 53.46, 53.46, 1202924, 2037609
2018/12/4, 00:00:00, 53.60, 53.60, 53.60, 53.60, 1231644, 2048735
2018/12/5, 00:00:00, 53.29, 53.29, 53.29, 53.29, 964537, 2048577
2018/12/6, 00:00:00, 52.70, 52.70, 52.70, 52.70, 1455656, 2056566
2018/12/7, 00:00:00, 52.20, 52.20, 52.20, 52.20, 1621654, 2063691
2018/12/10, 00:00:00, 51.21, 51.21, 51.21, 51.21, 1205227, 2054066
2018/12/11, 00:00:00, 51.29, 51.29, 51.29, 51.29, 1213221, 2050634
2018/12/12, 00:00:00, 51.44, 51.44, 51.44, 51.44, 1330725, 2059589
2018/12/13, 00:00:00, 52.12, 52.12, 52.12, 52.12, 1395465, 2088384
2018/12/14, 00:00:00, 51.66, 51.66, 51.66, 51.66, 1048666, 2064408
2018/12/17, 00:00:00, 51.83, 51.83, 51.83, 51.83, 1124822, 2074447
2018/12/18, 00:00:00, 50.47, 50.47, 50.47, 50.47, 1471013, 2063376
2018/12/19, 00:00:00, 51.43, 51.43, 51.43, 51.43, 1164299, 2032696
2018/12/20, 00:00:00, 51.00, 51.00, 51.00, 51.00, 1140822, 2045690
2018/12/21, 00:00:00, 51.32, 51.32, 51.32, 51.32, 1106154, 2056659
2018/12/24, 00:00:00, 50.79, 50.79, 50.79, 50.79, 626051, 2073992
2018/12/26, 00:00:00, 53.67, 53.67, 53.67, 53.67, 1026362, 2090392
2018/12/27, 00:00:00, 52.11, 52.11, 52.11, 52.11, 941155, 2080681
2018/12/28, 00:00:00, 52.05, 52.05, 52.05, 52.05, 870700, 2109445
2018/12/31, 00:00:00, 53.08, 53.08, 53.08, 53.08, 730436, 2104675
2019/1/2, 00:00:00, 53.90, 53.90, 53.90, 53.90, 1274104, 2126286
2019/1/3, 00:00:00, 54.14, 54.14, 54.14, 54.14, 1170218, 2131963
2019/1/4, 00:00:00, 54.31, 54.31, 54.31, 54.31, 1238042, 2124927
2019/1/7, 00:00:00, 54.04, 54.04, 54.04, 54.04, 1256535, 2141112
2019/1/8, 00:00:00, 54.95, 54.95, 54.95, 54.95, 1308202, 2120930
2019/1/9, 00:00:00, 55.85, 55.85, 55.85, 55.85, 1556425, 2102030
2019/1/10, 00:00:00, 55.43, 55.43, 55.43, 55.43, 1429410, 2101230
2019/1/11, 00:00:00, 54.54, 54.54, 54.54, 54.54, 1250007, 2091430
2019/1/14, 00:00:00, 54.05, 54.05, 54.05, 54.05, 1272605, 2096812
2019/1/15, 00:00:00, 54.57, 54.57, 54.57, 54.57, 1170314, 2103777
2019/1/16, 00:00:00, 54.90, 54.90, 54.90, 54.90, 1264992, 2073277
